Animal,Corte,Grupo,Region,PC1,PC2,cluster
CS2,3,CS,GD,1.7198233243742942,0.6206345324993019,2
CS2,3,CS,GD,-0.8527426567574261,0.2612641478851848,1
CS2,3,CS,GD,2.2563268592425616,0.032171382034986234,2
CS2,3,CS,GD,2.2487601642442203,-0.5494617162712991,2
CS2,3,CS,GD,1.9549091059796324,-0.5140163835263608,2
CS2,3,CS,GD,2.968477594802829,-1.5585720151018099,2
CS2,3,CS,GD,-0.1230143491415121,0.43229106011330737,1
CS2,3,CS,GD,-0.31789922065418513,0.5969187191677844,1
CS2,3,CS,GD,-1.2143024309432453,0.3359182710177336,1
CS2,3,CS,GD,-0.6496732634230148,0.6155395825293327,1
CS2,3,CS,GD,-0.6207201160566499,0.5410853849494988,1
CS2,4,CS,GD,-0.6342579039177282,0.4839110703137507,1
CS2,4,CS,GD,-2.396284058859794,-0.49570168914566515,3
CS2,4,CS,GD,1.1385457701422916,0.5002806199028785,2
CS2,4,CS,GD,-3.264376325679604,-0.48499576238884373,3
CS2,4,CS,GD,-0.027752524811487777,0.06645521079860953,1
CS2,4,CS,GD,2.281045329588578,-1.0318059118504666,2
CS2,4,CS,GD,1.2746874357824383,0.18599534321031977,2
CS2,4,CS,GD,2.374549831058934,-1.0514718099085354,2
CS2,4,CS,GD,1.6048397174434024,-0.42572637376347644,2
CS2,4,CS,GD,-0.493516692342967,0.16123058471731191,1
CS2,4,CS,GD,0.5010073208784044,0.26568354103622255,1
CS2,4,CS,GD,1.756985741626687,-0.0076577088444805715,2
CS2,4,CS,GD,0.25412078340609917,-0.1980054589769245,2
CS2,4,CS,GD,0.5034418516225183,0.19958139337982791,1
CS2,4,CS,GD,-0.08544301362160725,0.10220312090717895,1
CS3,1,CS,CA1,-0.29148173678110345,0.08848768240251001,1
CS3,1,CS,CA1,2.1327766664440038,-0.3764063741166947,2
CS3,1,CS,CA1,2.329071821148911,-0.7753496074055807,2
CS3,1,CS,CA1,0.8903710134638121,0.007824428889742512,2
CS3,1,CS,CA1,0.3485738907388494,0.43146315652595857,1
CS3,1,CS,CA1,0.46410021097787596,0.660993551133085,1
CS3,1,CS,CA1,1.3326815555811273,-0.14397363897671847,2
CS3,1,CS,CA1,0.2368767106146763,0.16747881750767674,1
CS3,1,CS,CA1,0.376519866102504,-0.18644323515205047,2
CS3,1,CS,CA1,1.5206888650527939,-0.01791059345957226,2
CS3,1,CS,CA1,-0.6556183195717514,-0.003917709664469458,1
CS3,1,CS,CA1,-0.66854389465483,0.15465946176530104,1
CS3,1,CS,CA1,-0.7772345992127284,-0.15134515459827838,1
CS3,1,CS,CA1,-0.9201258921480084,0.28894241088219597,1
CS3,1,CS,CA1,0.04056557933352845,-0.2961285886318433,2
CS3,2,CS,CA1,0.33897200955410456,-0.26131001867635495,2
CS3,2,CS,CA1,1.5007030208191152,-1.0836982521804799,2
