Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS4,1,CS,CA1,1419,42.617,47.413,42.617,47.413,339.73,46.041,39.242,52.316,0.154,1.173,0.852,0.586
CS4,1,CS,CA1,1696,48.112,44.49,48.112,44.49,453.47,52.985,40.755,99.782,0.104,1.3,0.769,0.531
CS4,1,CS,CA1,2059,80.898,54.454,80.898,54.454,672.347,60.18,43.562,23.038,0.057,1.381,0.724,0.371
CS4,1,CS,CA1,1447,46.901,34.116,46.901,34.116,275.362,58.929,31.264,43.239,0.24,1.885,0.531,0.668
CS4,1,CS,CA1,1382,36.663,31.036,36.663,31.036,300.777,74.227,23.706,35.552,0.192,3.131,0.319,0.586
CS4,1,CS,CA1,1718,47.765,40.661,47.765,40.661,523.37,55.486,39.423,20.511,0.079,1.407,0.711,0.457
CS4,1,CS,CA1,1548,31.094,61.137,31.094,61.137,372.416,66.217,29.765,87.343,0.14,2.225,0.45,0.644
CS4,1,CS,CA1,1749,64.933,56.604,64.933,56.604,415.286,58.653,37.968,152.131,0.127,1.545,0.647,0.563
CS4,2,CS,CA1,1325,31.248,39.062,31.248,39.062,208.836,46.906,35.967,113.051,0.382,1.304,0.767,0.831
CS4,2,CS,CA1,481,27.806,36.916,27.806,36.916,160.894,38.576,15.876,56.242,0.233,2.43,0.412,0.704
CS4,2,CS,CA1,2117,41.543,63.807,41.543,63.807,633.009,66.362,40.617,69.831,0.066,1.634,0.612,0.499
CS4,2,CS,CA1,687,30.436,41.928,30.436,41.928,150.853,39.83,21.961,106.46,0.379,1.814,0.551,0.673
CS4,2,CS,CA1,642,31.47,46.791,31.47,46.791,198.066,33.181,24.635,118.299,0.206,1.347,0.742,0.546
CS4,2,CS,CA1,1110,58.007,49.293,58.007,49.293,299.404,46.457,30.421,116.956,0.156,1.527,0.655,0.579
CS4,2,CS,CA1,830,52.089,53.523,52.089,53.523,226.25,52.344,20.189,27.667,0.204,2.593,0.386,0.558
CS4,2,CS,CA1,2202,54.993,68.254,54.993,68.254,655.879,68.102,41.169,102.021,0.064,1.654,0.605,0.437
CS4,2,CS,CA1,4235,75.369,73.98,75.369,73.98,1185.291,81.225,66.385,68.272,0.038,1.224,0.817,0.428
CS4,2,CS,CA1,2466,73.515,46.919,73.515,46.919,874.614,67.32,46.64,173.929,0.041,1.443,0.693,0.449
CS4,2,CS,CA1,1271,50.206,51.908,50.206,51.908,381.345,50.605,31.979,11.251,0.11,1.582,0.632,0.519
